id,labels,properties
32,[RouteNode],"{\""componentId\"":32,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5020271,\""lon\"":11.3531529,\""x\"":\""11.3531529\"",\""y\"":\""44.5020271\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5020271,\""longitude\"":11.3531529,\""height\"":null},\""geometry\"":\""POINT(11.3531529 44.5020271)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715933\"",\""street_count\"":\""2\"",\""lat\"":44.5020271,\""longitude\"":11.3531529}"
33,[RouteNode],"{\""componentId\"":33,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5001002,\""lon\"":11.3562482,\""x\"":\""11.3562482\"",\""y\"":\""44.5001002\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5001002,\""longitude\"":11.3562482,\""height\"":null},\""geometry\"":\""POINT(11.3562482 44.5001002)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715940\"",\""street_count\"":\""2\"",\""lat\"":44.5001002,\""longitude\"":11.3562482}"
34,[RouteNode],"{\""componentId\"":34,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.4987964,\""lon\"":11.3564284,\""x\"":\""11.3564284\"",\""y\"":\""44.4987964\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4987964,\""longitude\"":11.3564284,\""height\"":null},\""geometry\"":\""POINT(11.3564284 44.4987964)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715942\"",\""street_count\"":\""2\"",\""lat\"":44.4987964,\""longitude\"":11.3564284}"
35,[RouteNode],"{\""componentId\"":35,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5051212,\""lon\"":11.3455581,\""x\"":\""11.3455581\"",\""y\"":\""44.5051212\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5051212,\""longitude\"":11.3455581,\""height\"":null},\""geometry\"":\""POINT(11.3455581 44.5051212)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250715947\"",\""street_count\"":\""2\"",\""lat\"":44.5051212,\""longitude\"":11.3455581}"
36,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3508748,44.5001896,11.3508748,44.5001896],\""latitude\"":44.5001896,\""lon\"":11.3508748,\""x\"":\""11.3508748\"",\""y\"":\""44.5001896\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5001896,\""longitude\"":11.3508748,\""height\"":null},\""geometry\"":\""POINT(11.3508748 44.5001896)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250715950\"",\""street_count\"":\""3\"",\""lat\"":44.5001896,\""longitude\"":11.3508748}"
37,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3545777,44.4994125,11.3545777,44.4994125],\""latitude\"":44.4994125,\""lon\"":11.3545777,\""x\"":\""11.3545777\"",\""y\"":\""44.4994125\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4994125,\""longitude\"":11.3545777,\""height\"":null},\""geometry\"":\""POINT(11.3545777 44.4994125)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250718677\"",\""street_count\"":\""2\"",\""lat\"":44.4994125,\""longitude\"":11.3545777}"
38,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3546785,44.4996315,11.3546785,44.4996315],\""latitude\"":44.4996315,\""lon\"":11.3546785,\""x\"":\""11.3546785\"",\""y\"":\""44.4996315\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4996315,\""longitude\"":11.3546785,\""height\"":null},\""geometry\"":\""POINT(11.3546785 44.4996315)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250718678\"",\""street_count\"":\""4\"",\""lat\"":44.4996315,\""longitude\"":11.3546785}"
39,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3560254,44.4993309,11.3560254,44.4993309],\""latitude\"":44.4993309,\""lon\"":11.3560254,\""x\"":\""11.3560254\"",\""y\"":\""44.4993309\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4993309,\""longitude\"":11.3560254,\""height\"":null},\""geometry\"":\""POINT(11.3560254 44.4993309)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250718680\"",\""street_count\"":\""2\"",\""lat\"":44.4993309,\""longitude\"":11.3560254}"
40,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3546161,44.4994959,11.3546161,44.4994959],\""latitude\"":44.4994959,\""lon\"":11.3546161,\""x\"":\""11.3546161\"",\""y\"":\""44.4994959\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4994959,\""longitude\"":11.3546161,\""height\"":null},\""geometry\"":\""POINT(11.3546161 44.4994959)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250718695\"",\""street_count\"":\""2\"",\""lat\"":44.4994959,\""longitude\"":11.3546161}"
41,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.354695,44.4996691,11.354695,44.4996691],\""latitude\"":44.4996691,\""lon\"":11.354695,\""x\"":\""11.354695\"",\""y\"":\""44.4996691\"",\""geometry\"":\""POINT(11.354695 44.4996691)\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.4996691,\""longitude\"":11.354695,\""height\"":null},\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250718707\"",\""street_count\"":\""2\"",\""lat\"":44.4996691,\""longitude\"":11.354695}"
42,"[RouteNode, FootNode, BikeNode]","{\""gtype\"":1,\""componentId\"":3,\""cyclist_allowed_grafmove\"":\""yes\"",\""bbox\"":[11.3424051,44.5053128,11.3424051,44.5053128],\""latitude\"":44.5053128,\""lon\"":11.3424051,\""x\"":\""11.3424051\"",\""y\"":\""44.5053128\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5053128,\""longitude\"":11.3424051,\""height\"":null},\""geometry\"":\""POINT(11.3424051 44.5053128)\"",\""pedestrian_allowed_grafmove\"":\""yes\"",\""id\"":\""250734645\"",\""street_count\"":\""3\"",\""lat\"":44.5053128,\""longitude\"":11.3424051}"
43,[RouteNode],"{\""componentId\"":43,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5057183,\""lon\"":11.3398531,\""x\"":\""11.3398531\"",\""y\"":\""44.5057183\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5057183,\""longitude\"":11.3398531,\""height\"":null},\""geometry\"":\""POINT(11.3398531 44.5057183)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250734646\"",\""street_count\"":\""2\"",\""lat\"":44.5057183,\""longitude\"":11.3398531}"
44,[RouteNode],"{\""componentId\"":44,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5057199,\""lon\"":11.3395653,\""x\"":\""11.3395653\"",\""y\"":\""44.5057199\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5057199,\""longitude\"":11.3395653,\""height\"":null},\""geometry\"":\""POINT(11.3395653 44.5057199)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250734647\"",\""street_count\"":\""2\"",\""lat\"":44.5057199,\""longitude\"":11.3395653}"
45,[RouteNode],"{\""componentId\"":45,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5056802,\""lon\"":11.3393408,\""x\"":\""11.3393408\"",\""y\"":\""44.5056802\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5056802,\""longitude\"":11.3393408,\""height\"":null},\""geometry\"":\""POINT(11.3393408 44.5056802)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250734648\"",\""street_count\"":\""2\"",\""lat\"":44.5056802,\""longitude\"":11.3393408}"
46,[RouteNode],"{\""componentId\"":46,\""cyclist_allowed_grafmove\"":\""no\"",\""latitude\"":44.5026281,\""lon\"":11.3333154,\""x\"":\""11.3333154\"",\""y\"":\""44.5026281\"",\""location\"":{\""crs\"":\""wgs-84\"",\""latitude\"":44.5026281,\""longitude\"":11.3333154,\""height\"":null},\""geometry\"":\""POINT(11.3333154 44.5026281)\"",\""pedestrian_allowed_grafmove\"":\""no\"",\""id\"":\""250734650\"",\""street_count\"":\""2\"",\""lat\"":44.5026281,\""longitude\"":11.3333154}"
